channel,electrode,x,y,stim,stim_unit,pad_id
23,19138,3815.0,1505.0,False,,475.0
31,19996,3430.0,1575.0,False,,476.0
35,19351,3692.5,1522.5,False,,473.0
51,19130,3675.0,1505.0,False,,473.0
67,19353,3727.5,1522.5,False,,474.0
71,19357,3797.5,1522.5,False,,475.0
79,19131,3692.5,1505.0,False,,473.0
99,19126,3605.0,1505.0,False,,472.0
119,19347,3622.5,1522.5,False,,472.0
123,19777,3447.5,1557.5,False,,476.0
143,19133,3727.5,1505.0,True,26,474.0
191,19134,3745.0,1505.0,False,,474.0
207,19776,3430.0,1557.5,False,,476.0
219,19350,3675.0,1522.5,False,,473.0
223,19127,3622.5,1505.0,False,,472.0
227,19354,3745.0,1522.5,False,,474.0
267,19997,3447.5,1575.0,False,,476.0
299,19137,3797.5,1505.0,False,,475.0
